,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
9725,Gujarat,1998,2,9,3,59,1,BHARAT PANDYA,M,BJP,35928,,,77103,143872,DHANDHUKA,GEN,,,9,53.59,46.6,no,19.85,BRAHMIN,UPPER CASTE,HINDU,,,2.86,UPPER CASTE
9734,Gujarat,1998,2,9,3,60,1,KANJIBHAI RAYABHAI TALPADA,M,INC,53405,,,87380,145924,DHOLKA,GEN,,,4,59.88,61.12,no,25.51,OTHER PEASANT OBC,OBC PP,HINDU,,,2.0,OBC PP
9738,Gujarat,1998,2,9,3,61,1,MAKWANA GUNVANTBHAI N.,M,INC,39583,,,87995,155587,BAVLA,SC,,,9,56.56,44.98,no,7.36,JATAV,SC,HINDU,,,2.86,SC
9747,Gujarat,1998,2,9,3,62,1,PATEL ANANDIBEN MAFATBHAI,F,BJP,31974,,,75813,120741,MANDAL,GEN,,,4,62.79,42.17,no,6.25,PATEL,INTERMEDIARY CASTE,HINDU,,,2.78,INTERMEDIARY CASTE
9751,Gujarat,1998,2,9,3,63,1,PREMJIBHAI VADLANI,M,INC,35255,,,87296,133050,VIRAMGAM,GEN,,,3,65.61,40.39,no,6.88,SINDHI,NOT ASCERTAINED,HINDU,,,2.94,NOT ASCERTAINED
9754,Gujarat,1998,2,9,3,64,1,SHAH AMIT ANILCHANDRA (AMIT SHAH),M,BJP,193373,,,277016,609349,SARKHEJ,GEN,,,9,45.46,69.81,no,47.82,VAISHYA,UPPER CASTE,HINDU,,,1.85,UPPER CASTE
9763,Gujarat,1998,2,9,3,65,1,PATEL VIJAYBHAI HARISHCHANDRA,M,BJP,48173,,,128341,233470,DASKROI,GEN,,,11,54.97,37.54,no,3.66,PATEL,INTERMEDIARY CASTE,HINDU,,,3.45,INTERMEDIARY CASTE
9774,Gujarat,1998,2,9,3,66,1,GABHAJI MANGAJI THAKOR,M,BJP,35620,,,93412,149395,DEHGAM,GEN,,,5,62.53,38.13,no,6.48,KURMI,OBC PP,HINDU,,,2.94,OBC PP
9779,Gujarat,1998,2,9,3,67,1,OZA YATINBHAI NARENDRAKUMAR,M,BJP,86315,,,154343,291544,SABARMATI,GEN,,,8,52.94,55.92,no,13.62,BRAHMIN,UPPER CASTE,HINDU,,,2.04,UPPER CASTE
9787,Gujarat,1998,2,9,3,68,1,HAREN PANDYA,M,BJP,84101,,,108617,227157,ELLIS BRIDGE,GEN,,,6,47.82,77.43,no,59.4,BRAHMIN,UPPER CASTE,HINDU,,,1.59,UPPER CASTE
9793,Gujarat,1998,2,9,3,69,1,BAROT BHARATKUMAR CHIMANLAL,M,BJP,32407,,,63113,128505,DARIAPUR-KAZIPUR,GEN,,,10,49.11,51.35,no,13.14,BRAHMIN,OBC SERVICE,HINDU,,,2.38,OBC SERVICE
9803,Gujarat,1998,2,9,3,70,1,KAUSHIKKUMAR JAMNADAS PATEL (KAUSHIK PATEL),M,BJP,28678,,,52503,93964,SHAHPUR,GEN,,,7,55.88,54.62,no,17.56,PATEL,INTERMEDIARY CASTE,HINDU,,,2.27,INTERMEDIARY CASTE
