,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
10776,Gujarat,2002,2,10,3,45,1,DHANANI PARESHBHAI DHIRAJLAL,M,INC,51109,,,91829,150498,AMRELI,GEN,,,7,61.02,55.66,no,17.77,,,,,,2.22,
10783,Gujarat,2002,2,10,3,46,1,BALUBHAI JIVRAJBHAI TANTI,M,BJP,24543,,,82335,141457,DHARI,GEN,,,9,58.2,29.81,no,2.15,,,,,,3.85,
10792,Gujarat,2002,2,10,3,47,1,SOLANKI DINUBHAI BOGHABHAI,M,BJP,47563,,,102821,153672,KODINAR,GEN,,,5,66.91,46.26,no,2.0,,,,,,2.44,
10797,Gujarat,2002,2,10,3,48,1,SOLANKI HIRABHAI ODHAVJIBHAI,M,BJP,61947,,,96617,162927,RAJULA,GEN,,,4,59.3,64.12,no,38.36,,,,,,2.08,
10801,Gujarat,2002,2,10,3,49,1,SAURABH PATEL,M,BJP,66650,,,124113,185540,BOTAD,GEN,,,6,66.89,53.7,no,26.94,2 PATIDAR,IC,HINDU,,,2.63,IC
10807,Gujarat,2002,2,10,3,50,1,MARU PRAVINBHAI TIDABHAI,M,INC,49733,,,100266,171616,GADHADA,SC,,,3,58.42,49.6,no,2.84,,,,,,2.13,
10810,Gujarat,2002,2,10,3,51,1,MANDAVIYA MANSUKHBHAI LAXMANBHAI,M,BJP,40495,,,88789,154095,PALITANA,GEN,,,8,57.62,45.61,no,2.72,,,,,,2.56,
10818,Gujarat,2002,2,10,3,52,1,NAKARANI KESHUBHAI HIRAJIBHAI,M,BJP,52100,,,102441,170797,SIHOR,GEN,,,3,59.98,50.86,no,6.14,,,,,,2.17,
10821,Gujarat,2002,2,10,3,53,1,KALUBHAI VIRANI,M,BJP,41588,,,82227,146936,KUNDLA,GEN,,,6,55.96,50.58,no,13.54,,,,,,2.5,
10827,Gujarat,2002,2,10,3,54,1,DR. KANUBHAI VALABHAI KALSARIYA,M,BJP,38933,,,75414,158704,MAHUVA,GEN,,,4,47.52,51.63,no,14.49,,,,,,2.44,
10831,Gujarat,2002,2,10,3,55,1,GOHIL SHIVABHAI JERAMBHAI,M,BJP,27843,,,75178,163289,TALAJA,GEN,,,11,46.04,37.04,no,9.76,,,,,,3.85,
10842,Gujarat,2002,2,10,3,56,1,SOLANKI PARSOTTAM O.,M,BJP,54674,,,101449,179326,GHOGHO,GEN,,,6,56.57,53.89,no,15.49,,,,,,2.22,
10848,Gujarat,2002,2,10,3,57,1,TRIVEDI MAHENDRABHAI SHANTIBHAI (MAHENDRA,M,BJP,56820,,,96687,192057,BHAVNAGAR NORTH,GEN,,,6,50.34,58.77,no,27.09,,,,,,2.22,
10854,Gujarat,2002,2,10,3,58,1,OZA SUNIL BALKRISHNABHAI,M,BJP,63172,,,122281,223748,BHAVNAGAR SOUTH,GEN,,,6,54.65,51.66,no,8.21,,,,,,2.17,
10860,Gujarat,2002,2,10,3,59,1,BHARATBHAI BALDEVBHAI PANDYA,M,BJP,44070,,,91579,160737,DHANDHUKA,GEN,,,6,56.97,48.12,no,4.24,,,,,,2.33,
10866,Gujarat,2002,2,10,3,60,1,CHUDASAMA BHUPENDRASINH,M,BJP,49683,,,101733,162494,DHOLKA,GEN,,,3,62.61,48.84,no,0.71,,,,,,2.13,
10869,Gujarat,2002,2,10,3,61,1,LAKUM KANTIBHAI RAMABHAI,M,BJP,53041,,,102305,178556,BAVLA,SC,,,4,57.3,51.85,no,10.96,,,,,,2.27,
10873,Gujarat,2002,2,10,3,62,1,PATEL PRAGJIBHAI NARANBHAI,M,BJP,39189,,,83694,138513,MANDAL,GEN,,,5,60.42,46.82,no,0.67,,,,,,2.33,
10878,Gujarat,2002,2,10,3,63,1,DODIYA VAJUBHAI PARMABHAI,M,BJP,53766,,,104468,155676,VIRAMGAM,GEN,,,2,67.11,51.47,no,2.93,,,,,,2.0,
10880,Gujarat,2002,2,10,3,64,1,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),M,BJP,288327,,,430489,838950,SARKHEJ,GEN,,,9,51.31,66.98,no,36.71,,,HINDU,,,1.85,
10889,Gujarat,2002,2,10,3,65,1,PATEL BABUBHAI JAMNADAS,M,BJP,94687,,,170025,282279,DASKROI,GEN,,,4,60.23,55.69,no,16.59,,,,,,2.17,
10893,Gujarat,2002,2,10,3,66,1,JAGDISH THAKOR,M,INC,56550,,,115440,170982,DEHGAM,GEN,,,3,67.52,48.99,no,2.44,,,,,,2.17,
10896,Gujarat,2002,2,10,3,67,1,PATEL JITENDRABHAI BABUBHAI (DR. JITUBHAI PATEL),M,BJP,107561,,,159681,287951,SABARMATI,GEN,,,8,55.45,67.36,no,37.07,,,,,,1.85,
10904,Gujarat,2002,2,10,3,68,1,SHETH BHAVINBHAI NALINIBHAI (ENGINEER),M,BJP,78224,,,102843,212228,ELLIS BRIDGE,GEN,,,6,48.46,76.06,no,56.19,,,,,,1.61,
10910,Gujarat,2002,2,10,3,69,1,BAROT BHARATKUMAR CHIMANLAL (BHARAT BAROT),M,BJP,43658,,,69605,130787,DARIAPUR-KAZIPUR,GEN,,,10,53.22,62.72,no,31.34,,,,,,2.04,
10920,Gujarat,2002,2,10,3,70,1,PATEL KAUSHIKKUMAR JAMNADAS (KAUSHIK PATEL),M,BJP,30708,,,60441,90576,SHAHPUR,GEN,,,5,66.73,50.81,no,3.43,,,,,,2.08,
10925,Gujarat,2002,2,10,3,71,1,SHAIKH MOHAMMED FAROOQ HUSAINMIYA (FAROOQ,M,INC,33113,,,56608,75495,KALUPUR,GEN,,,4,74.98,58.5,no,18.55,,,MUSLIM,,,2.0,
10929,Gujarat,2002,2,10,3,72,1,JADEJA PRADIPSINH BHAGVATSINH,M,BJP,61877,,,112135,209212,ASARWA,GEN,,,15,53.6,55.18,no,22.03,,,,,,2.38,
10944,Gujarat,2002,2,10,3,73,1,ZADAFIA GORDHANBHAI PRAGJIBHAI,M,BJP,63165,,,112299,176192,RAKHIAL,GEN,,,5,63.74,56.25,no,14.57,,,,,,2.04,
10949,Gujarat,2002,2,10,3,74,1,VAGHELA JITENDRAKUMAR UMAKANT,M,BJP,34397,,,67895,112359,SHAHER KOTDA,SC,,,5,60.43,50.66,no,3.54,,,,,,2.08,
10954,Gujarat,2002,2,10,3,75,1,ASHOK BHATT,M,BJP,28138,,,49359,75404,KHADIA,GEN,,,4,65.46,57.01,no,15.48,,,HINDU,,,2.0,
10958,Gujarat,2002,2,10,3,76,1,DEVADIWALA USMANGANI ISMAILBHAI,M,INC,46600,,,82873,137978,JAMALPUR,GEN,,,10,60.06,56.23,no,17.34,,,MUSLIM,,,2.13,
10968,Gujarat,2002,2,10,3,77,1,NARENDRA MODI,M,BJP,113589,,,154981,308798,MANINAGAR,GEN,,,4,50.19,73.29,no,48.61,,,HINDU,,,1.67,
10972,Gujarat,2002,2,10,3,78,1,KODNANI MAYABEN SURENDRABHAI,F,BJP,155286,,,207965,419440,NARODA,GEN,,,8,49.58,74.67,no,53.42,,,,,,1.64,
10980,Gujarat,2002,2,10,3,79,1,DR. C. J. CHAVDA,M,INC,83107,,,160967,262251,GANDHINAGAR,GEN,,,7,61.38,51.63,no,12.44,,,,,,2.33,
10987,Gujarat,2002,2,10,3,80,1,DR. ATUL K. PATEL,M,BJP,64092,,,126716,185223,KALOL-I,GEN,,,7,68.41,50.58,no,6.58,,,,,,2.22,
10994,Gujarat,2002,2,10,3,81,1,THAKOR BALDEVJI CHANDUJI,M,INC,69449,,,136133,171504,KADI,GEN,,,14,79.38,51.02,no,4.72,,,,,,2.13,
11008,Gujarat,2002,2,10,3,82,1,ISHWARBHAI DHANABHAI MAKWANA,M,BJP,62041,,,114667,170540,JOTANA,SC,,,3,67.24,54.11,no,11.06,,,,,,2.08,
11011,Gujarat,2002,2,10,3,83,1,ANILBHAI TRIBHOVANDAS PATEL (APOLLO GROUP),M,BJP,61491,,,120301,188227,MEHSANA,GEN,,,7,63.91,51.11,no,14.77,,,HINDU,,,2.44,
11018,Gujarat,2002,2,10,3,84,1,PRO. MANGALBHAI PATEL,M,BJP,58981,,,118366,177815,MANSA,GEN,,,3,66.57,49.83,no,2.26,,,,,,2.08,
11021,Gujarat,2002,2,10,3,85,1,PATEL KANTIBHAI RAMABHAI,M,BJP,70358,,,122715,173293,VIJAPUR,GEN,,,5,70.81,57.33,no,21.76,,,,,,2.17,
11026,Gujarat,2002,2,10,3,86,1,PATEL PRAHLADBHAI MOHANLAL,M,BJP,72303,,,131723,186818,VISNAGAR,GEN,,,4,70.51,54.89,no,12.8,,,,,,2.08,
11030,Gujarat,2002,2,10,3,87,1,DESAI RAMILABEN RAMBHAI,F,BJP,70300,,,121677,164757,KHERALU,GEN,,,2,73.85,57.78,no,15.55,,,,,,1.96,
11032,Gujarat,2002,2,10,3,88,1,PATEL NARAYANBHAI LALLUBHAI,M,BJP,76979,,,112876,174538,UNJHA,GEN,,,3,64.67,68.2,no,39.5,,,,,,1.82,
11035,Gujarat,2002,2,10,3,89,1,BALVANTSINH CHANDANSINH RAJPUT,M,INC,64142,,,118006,157273,SIDHPUR,GEN,,,2,75.03,54.35,no,8.71,,,,,,1.96,
11037,Gujarat,2002,2,10,3,90,1,THAKOR JODHAJI GALABJI,M,INC,62214,,,108484,175156,VAGDOD,GEN,,,5,61.94,57.35,no,20.0,,,,,,2.13,
11042,Gujarat,2002,2,10,3,91,1,ANANDIBEN PATEL,F,BJP,49755,,,95928,164653,PATAN,GEN,,,2,58.26,51.87,no,3.73,2 LEUVA PATEL,IC,HINDU,,,2.0,IC
11044,Gujarat,2002,2,10,3,92,1,DESAI MALAJIBHAI DEVAJIBHAI,M,INC,46108,,,102105,140442,CHANASMA,GEN,,,4,72.7,45.16,no,17.5,,,,,,2.86,
11048,Gujarat,2002,2,10,3,93,1,THAKOR DILIPKUMAR VIRAJIBHAI,M,BJP,61875,,,117028,169472,SAMI,GEN,,,5,69.05,52.87,no,12.18,,,,,,2.22,
11053,Gujarat,2002,2,10,3,94,1,CHAUDHARY SHANKARBHAI LAGDHIRBHAI,M,BJP,63297,,,125990,184676,RADHANPUR,GEN,,,4,68.22,50.24,no,7.98,,,,,,2.27,
11057,Gujarat,2002,2,10,3,95,1,RAJPUT HEMAJI DARGHAJI,M,INC,70228,,,140343,201642,VAV,GEN,,,3,69.6,50.04,no,8.43,,,,,,2.33,
11060,Gujarat,2002,2,10,3,96,1,PATEL BHEMABHAI RAMSINGBHAI,M,IND,54246,,,126903,174157,DEODAR,GEN,,,3,72.87,42.75,no,13.31,,,,,,2.86,
11063,Gujarat,2002,2,10,3,97,1,KHANPURA DHARSHIBHAI LAKHABHAI,M,INC,48386,,,102251,165190,KANKREJ,GEN,,,4,61.9,47.32,no,1.96,,,,,,2.33,
11067,Gujarat,2002,2,10,3,98,1,RABARI GOVABHAI HAMIRABHAI,M,INC,65080,,,133487,189145,DEESA,GEN,,,3,70.57,48.75,no,1.51,,,,,,2.17,
11070,Gujarat,2002,2,10,3,99,1,PATEL HARJIVANBHAI HIRABHAI,M,BJP,60573,,,129460,190354,DHANERA,GEN,,,4,68.01,46.79,no,2.35,,,,,,2.38,
11074,Gujarat,2002,2,10,3,100,1,KACHORIYA KANTILAL DHARAMDAS,M,BJP,59223,,,125071,197335,PALANPUR,GEN,,,6,63.38,47.35,no,12.35,,,,,,2.78,
11080,Gujarat,2002,2,10,3,101,1,DOLAT BHAI PARMAR,M,INC,64978,,,124285,181993,VADGAM,SC,,,4,68.29,52.28,no,11.26,,,,,,2.27,
11084,Gujarat,2002,2,10,3,102,1,GADHVI MUKESHKUMAR BHAIRAVDANJI,M,INC,82545,,,135000,205621,DANTA,GEN,,,2,65.65,61.14,no,22.29,,,,,,1.92,
11086,Gujarat,2002,2,10,3,103,1,AMARSINH BHILABHAI CHAUDHARI,M,INC,65142,,,119361,176823,KHEDBRAHMA,ST,,,2,67.5,54.58,no,9.15,,,HINDU,,,1.96,
11088,Gujarat,2002,2,10,3,104,1,VORA RAMANLAL ISHWARLAL,M,BJP,72776,,,119423,170498,IDAR,SC,,,2,70.04,60.94,no,21.88,,,HINDU,,,1.92,
11090,Gujarat,2002,2,10,3,105,1,DR. ANIL JOSHIYARA,M,INC,58111,,,117915,186648,BHILODA,GEN,,,4,63.18,49.28,no,6.07,,,,,,2.33,
11094,Gujarat,2002,2,10,3,106,1,CHAVADA RANJITSINH NARSINH,M,BJP,67550,,,127148,188798,HIMATNAGAR,GEN,,,4,67.35,53.13,no,17.79,,,,,,2.44,
11098,Gujarat,2002,2,10,3,107,1,RATHOD DEEPSINH SHANKARSINH,M,BJP,56985,,,105303,157592,PRANTIJ,GEN,,,4,66.82,54.12,no,16.69,,,,,,2.33,
11102,Gujarat,2002,2,10,3,108,1,PARMAR DILIPSINH VAKHATSINH,M,BJP,65558,,,119674,173294,MODASA,GEN,,,4,69.06,54.78,no,26.95,,,,,,2.44,
11106,Gujarat,2002,2,10,3,109,1,SOLANKI RAMSINHJI RUPSINHJI,M,INC,51192,,,106278,146012,BAYAD,GEN,,,4,72.79,48.17,no,2.09,,,,,,2.27,
11110,Gujarat,2002,2,10,3,110,1,PARMAR BHIKHIBEN GIRVATSINH,F,BJP,62038,,,116093,179090,MEGHRAJ,GEN,,,6,64.82,53.44,no,19.98,,,,,,2.44,
11116,Gujarat,2002,2,10,3,111,1,PANDYA PRABODHKANT DAMODAR,M,BJP,67885,,,114050,171557,SANTRAMPUR,GEN,,,4,66.48,59.52,no,28.96,,,,,,2.27,
11120,Gujarat,2002,2,10,3,112,1,KATARA BHURABHAI JETABHAI,M,BJP,66019,,,111929,202484,JHALOD,ST,,,3,55.28,58.98,no,21.85,,,,,,2.04,
11123,Gujarat,2002,2,10,3,113,1,BHURIYA MAHESHBHAI SOMJIBHAI,M,BJP,41427,,,92188,178609,LIMDI,ST,,,7,51.61,44.94,no,23.8,,,,,,3.33,
11130,Gujarat,2002,2,10,3,114,1,DAMOR TERSINHBHAI BADIYABHAI,M,BJP,46383,,,89582,171057,DOHAD,ST,,,3,52.37,51.78,no,7.45,,,,,,2.13,
11133,Gujarat,2002,2,10,3,115,1,BABUBHAI SONIYABHAI BHABHOR,M,BJP,46548,,,98958,186263,LIMKHEDA,ST,,,6,53.13,47.04,no,13.55,,,,,,2.86,
11139,Gujarat,2002,2,10,3,116,1,BACHUBHAI KHABAD,M,BJP,51157,,,94550,141007,DEVGADH BARIA,GEN,,,3,67.05,54.11,no,14.86,,,,,,2.27,
11142,Gujarat,2002,2,10,3,117,1,CHAUHAN FATESINH VAKHATSINH,M,BJP,66721,,,89518,146222,RAJGADH,GEN,,,3,61.22,74.53,no,55.32,,,,,,1.67,
11145,Gujarat,2002,2,10,3,118,1,PARMAR JAYADRATHSINHJEE CHANDRASINHJEE,M,BJP,76854,,,107781,155648,HALOL,GEN,,,3,69.25,71.31,no,45.51,,,,,,1.72,
11148,Gujarat,2002,2,10,3,119,1,CHAUHAN PRABHATSINH PRATAPSINH,M,BJP,80389,,,107807,147543,KALOL,GEN,,,2,73.07,74.57,no,49.14,,,,,,1.61,
11150,Gujarat,2002,2,10,3,120,1,BHATT HARESHKUMAR INDUPRASAD,M,BJP,68501,,,131304,191629,GODHRA,GEN,,,4,68.52,52.17,no,9.63,,,,,,2.22,
11154,Gujarat,2002,2,10,3,121,1,AHIR (BHARWAD) JETHABHAI GHELABHAI,M,BJP,85668,,,121024,179548,SHEHRA,GEN,,,3,67.4,70.79,no,47.15,,,HINDU,,,1.79,
11157,Gujarat,2002,2,10,3,122,1,MALIWAD KALUBHAI HIRABHAI,M,BJP,65066,,,109744,167887,LUNAVADA,GEN,,,6,65.37,59.29,no,33.09,,,,,,2.33,
11163,Gujarat,2002,2,10,3,123,1,JASVANTSINH SUMANBHAI BHABHOR,M,BJP,63730,,,108593,160815,RANDHIKPUR,ST,,,3,67.53,58.69,no,22.79,,,,,,2.13,
11166,Gujarat,2002,2,10,3,124,1,RAJESH PATHAK (PAPPU PATHAK),M,BJP,55416,,,105458,149383,BALASINOR,GEN,,,2,70.6,52.55,no,5.1,,,,,,1.96,
11168,Gujarat,2002,2,10,3,125,1,SHAH BIMAL KUMAR KAYANTILAL,M,BJP,55899,,,114166,166667,KAPADVANJ,GEN,,,3,68.5,48.96,no,2.04,,,,,,2.17,
11171,Gujarat,2002,2,10,3,126,1,CHAUHAN BHAGVANSINH RAYSINH,M,BJP,61380,,,116664,177770,THASRA,GEN,,,6,65.63,52.61,no,13.79,,,,,,2.27,
11177,Gujarat,2002,2,10,3,127,1,PATEL VISHNUBHAI CHHOTABHAI,M,BJP,50663,,,103514,144421,UMRETH,GEN,,,3,71.68,48.94,no,14.85,,,,,,2.56,
11180,Gujarat,2002,2,10,3,128,1,ZALA GAUTAMBHAI JESANGBHAI,M,INC,54308,,,101149,163027,KATHLAL,GEN,,,2,62.04,53.69,no,7.38,,,,,,2.0,
11182,Gujarat,2002,2,10,3,129,1,CHAUHAN SUNDARSINH BHALABHAI,M,BJP,50080,,,104979,178049,MEHMEDABAD,GEN,,,6,58.96,47.7,no,15.3,,,,,,2.78,
11188,Gujarat,2002,2,10,3,130,1,THAKOR NATVARSINH FULSINH,M,INC,55206,,,106961,167683,MAHUDHA,GEN,,,4,63.79,51.61,no,11.12,,,,,,2.27,
11192,Gujarat,2002,2,10,3,131,1,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,71959,,,120294,184077,NADIAD,GEN,,,2,65.35,59.82,no,19.64,,,,,,1.92,
11194,Gujarat,2002,2,10,3,132,1,VAGHELA SHANKERBHAI DESAIBHAI,M,INC,56789,,,102483,153690,CHAKALASI,GEN,,,2,66.68,55.41,no,10.83,,,,,,1.96,
11196,Gujarat,2002,2,10,3,133,1,PATEL DILIPBHAI MANIBHAI,M,BJP,74024,,,133595,205428,ANAND,GEN,,,5,65.03,55.41,no,21.01,,,,,,2.27,
11201,Gujarat,2002,2,10,3,134,1,SOLANKI JASVANTSINHJI AMARSINHJI (JASUBHA),M,BJP,37303,,,98971,142307,SARSA,GEN,,,4,69.55,37.69,no,1.37,,,,,,3.12,
11205,Gujarat,2002,2,10,3,135,1,CHANDRAKANT DAHYABHAI PATEL (C.D. PATEL),M,BJP,58854,,,99627,137422,PETLAD,GEN,,,4,72.5,59.07,no,22.74,,,,,,2.08,
11209,Gujarat,2002,2,10,3,136,1,AMBALAL ASHABHAI ROHIT,M,BJP,54721,,,96520,142309,SOJITRA,SC,,,2,67.82,56.69,no,13.39,,,HINDU,,,1.96,
11211,Gujarat,2002,2,10,3,137,1,RAKESH RAO ADVOCATE,M,BJP,51433,,,109881,160961,MATAR,GEN,,,4,68.27,46.81,no,9.12,,,,,,2.7,
11215,Gujarat,2002,2,10,3,138,1,SOLANKI BHARATBHAI MADHAVSINH,M,INC,65000,,,115169,167707,BORSAD,GEN,,,3,68.67,56.44,no,16.78,,,,,,2.08,
11218,Gujarat,2002,2,10,3,139,1,PARMAR RAJENDRASINH DHIRSINH,M,INC,66535,,,113061,171861,BHADRAN,GEN,,,2,65.79,58.85,no,17.7,,,,,,1.92,
11220,Gujarat,2002,2,10,3,140,1,SHUKAL SHIRISHKUMAR MADHUSUDAN,M,BJP,57199,,,107469,163778,CAMBAY,GEN,,,3,65.62,53.22,no,9.68,,,,,,2.13,
11223,Gujarat,2002,2,10,3,141,1,RATHWA SHANKARBHAI VICHHIYABHAI,M,BJP,58948,,,104125,172425,CHHOTA UDAIPUR,ST,,,4,60.39,56.61,no,27.87,,,,,,2.44,
11227,Gujarat,2002,2,10,3,142,1,BARIA VECHATBHAI HAMIRBHAI,M,BJP,54741,,,101913,149906,JETPUR-I,GEN,,,3,67.98,53.71,no,15.21,,,,,,2.22,
11230,Gujarat,2002,2,10,3,143,1,BHIL KANTIBHAI TRIKAMBHAI,M,BJP,55782,,,100675,168214,NASVADI,ST,,,6,59.85,55.41,no,21.46,,,,,,2.33,
11236,Gujarat,2002,2,10,3,144,1,TADVI KANTIBHAI BHAIJIBHAI,M,BJP,56248,,,84049,129455,SANKHEDA,ST,,,5,64.93,66.92,no,42.38,,,,,,1.96,
11241,Gujarat,2002,2,10,3,145,1,PATEL CHANDRAKANT MOTIBHAI (PROF. C. M. PATEL),M,BJP,48305,,,91159,130491,DABHOI,GEN,,,7,69.86,52.99,no,18.37,,,,,,2.44,
11248,Gujarat,2002,2,10,3,146,1,UPENDRASINHJI PRATAPSINHJI GOHIL (BAPU),M,BJP,65778,,,115003,166208,SAVLI,GEN,,,2,69.19,57.2,no,14.39,,,,,,1.96,
11250,Gujarat,2002,2,10,3,147,1,BHUPENDRA LAKHAWALA,M,BJP,96533,,,151684,247701,BARODA CITY,GEN,,,8,61.24,63.64,no,30.38,,,,,,1.92,
11258,Gujarat,2002,2,10,3,148,1,JITENDRA SUKHADIA,M,BJP,180066,,,259446,447257,SAYAJIGANJ,GEN,,,11,58.01,69.4,no,41.48,,,,,,1.79,
11269,Gujarat,2002,2,10,3,149,1,YOGESH PATEL,M,BJP,95863,,,127172,220876,RAOPURA,GEN,,,2,57.58,75.38,no,50.76,,,HINDU,,,1.59,
11271,Gujarat,2002,2,10,3,150,1,MADHUBHAI SHRIVASTAV,M,BJP,65406,,,104193,162061,VAGHODIA,GEN,,,4,64.29,62.77,no,30.34,,,,,,2.0,
11275,Gujarat,2002,2,10,3,151,1,DILUBHA CHUDASAMA,M,BJP,63883,,,128258,202936,BARODA RURAL,GEN,,,8,63.2,49.81,no,27.45,,,,,,2.7,
11283,Gujarat,2002,2,10,3,152,1,POONAM PARMAR (POONAM RANCHHODSINH PARMAR),M,BJP,57601,,,124103,171709,PADRA,GEN,,,5,72.28,46.41,no,19.72,,,,,,2.94,
11288,Gujarat,2002,2,10,3,153,1,KANODIA NARESHKUMAR MITHALAL,M,BJP,66043,,,118414,158543,KARJAN,SC,,,6,74.69,55.77,no,23.79,,,,,,2.38,
11294,Gujarat,2002,2,10,3,154,1,MORI CHHATRASINH PUJABHAI,M,BJP,53712,,,102813,148343,JAMBUSAR,GEN,,,7,69.31,52.24,no,12.03,,,,,,2.33,
11301,Gujarat,2002,2,10,3,155,1,RASHIDA IQBAL PATEL,F,INC,54820,,,113129,151000,VAGRA,GEN,,,3,74.92,48.46,no,1.05,,,,,,2.22,
11304,Gujarat,2002,2,10,3,156,1,MISTRY RAMESHBHAI NARANDAS,M,BJP,80573,,,155205,221446,BROACH,GEN,,,7,70.09,51.91,no,7.09,,,,,,2.13,
11311,Gujarat,2002,2,10,3,157,1,PATEL ISHWARSINH THAKORBHAI,M,BJP,84341,,,139774,199783,ANKLESHWAR,GEN,,,4,69.96,60.34,no,25.64,,,,,,2.08,
11315,Gujarat,2002,2,10,3,158,1,VASAVA CHHOTUBHAI,M,JD(U),45157,,,105471,152594,JHAGADIA,ST,,,5,69.12,42.81,no,14.5,,,,,,3.12,
11320,Gujarat,2002,2,10,3,159,1,MAHESHBHAI CHHOTUBHAI VASAVA,M,JD(U),38665,,,123869,183157,DEDIAPADA,ST,,,6,67.63,31.21,no,4.65,,,,,,4.76,
11326,Gujarat,2002,2,10,3,160,1,VASAVA HARSHADBHAI CHUNILAL,M,BJP,54575,,,103775,151404,RAJPIPLA,ST,,,6,68.54,52.59,no,17.64,,,,,,2.5,
11332,Gujarat,2002,2,10,3,161,1,VASAVA PARESHBHAI GOVINDBHAI,M,INC,45299,,,113281,175422,NIJHAR,ST,,,7,64.58,39.99,no,14.53,,,,,,3.85,
11339,Gujarat,2002,2,10,3,162,1,VASAVA GANPATBHAI VESTABHAI,M,BJP,51227,,,112181,164382,MANGROL-I,ST,,,4,68.24,45.66,no,8.54,,,,,,2.7,
11343,Gujarat,2002,2,10,3,163,1,VASAVA NAGARBHAI DIVELIYABHAI,M,INC,40759,,,99317,153662,SONGADH,ST,,,8,64.63,41.04,no,21.62,,,,,,4.0,
11351,Gujarat,2002,2,10,3,164,1,CHAUDHARY TUSHARBHAI AMARSINHBHAI,M,INC,54797,,,109428,166335,VYARA,ST,,,6,65.79,50.08,no,25.95,,,,,,2.86,
11357,Gujarat,2002,2,10,3,165,1,DHODIYA MOHANBHAI DHANJIBHAI,M,BJP,34850,,,95938,160849,MAHUVA-I,ST,,,7,59.64,36.33,no,7.97,,,,,,3.85,
11364,Gujarat,2002,2,10,3,166,1,ANILKUMAR MOHANBHAI PATEL (RATHOD),M,INC,35392,,,103567,165631,BARDOLI,ST,,,6,62.53,34.17,no,0.43,,,HINDU,,,3.7,
11370,Gujarat,2002,2,10,3,167,1,RATHOD PRAVINBHAI CHHAGANBHAI,M,BJP,45987,,,97054,149399,KAMREJ,ST,,,5,64.96,47.38,no,4.01,,,,,,2.44,
11375,Gujarat,2002,2,10,3,168,1,PATEL DHANSUKHBHAI NATHUBHAI,M,BJP,74572,,,167675,350553,OLPAD,GEN,,,8,47.83,44.47,no,2.46,,,,,,2.56,
11383,Gujarat,2002,2,10,3,169,1,GEJERA DHIRUBHAI HARIBHAI,M,BJP,55705,,,103998,199248,SURAT CITY NORTH,GEN,,,9,52.2,53.56,no,12.04,,,,,,2.17,
11392,Gujarat,2002,2,10,3,170,1,GILITWALA MANISH NATVARLAL,M,INC,32620,,,66813,137257,SURAT CITY EAST,GEN,,,9,48.68,48.82,no,2.92,,,,,,2.22,
11401,Gujarat,2002,2,10,3,171,1,CHAPATWALA BHAVNABEN HEMANTBHAI,F,BJP,62382,,,99908,258472,SURAT CITY WEST,GEN,,,11,38.65,62.44,no,29.09,,,,,,2.0,
11412,Gujarat,2002,2,10,3,172,1,NAROTTAMBHAI PATEL,M,BJP,216047,,,341617,957660,CHORASI,GEN,,,13,35.67,63.24,no,32.41,,,HINDU,,,2.0,
11425,Gujarat,2002,2,10,3,173,1,R. C. PATEL,M,BJP,51403,,,108188,173090,JALALPORE,GEN,,,7,62.5,47.51,no,3.75,,,HINDU,,,2.38,
11432,Gujarat,2002,2,10,3,174,1,PATEL MANGUBHAI CHHAGANBHAI,M,BJP,52520,,,111896,183943,NAVSARI,ST,,,3,60.83,46.94,no,3.43,,,,,,2.38,
11435,Gujarat,2002,2,10,3,175,1,KARSANBHAI BHIKHABHAI PATEL,M,BJP,57413,,,108883,166465,GANDEVI,GEN,,,3,65.41,52.73,no,15.75,,,,,,2.33,
11438,Gujarat,2002,2,10,3,176,1,BHARTIBEN NARDEVBHAI PATEL,F,INC,55898,,,114905,171411,CHIKHLI,ST,,,3,67.03,48.65,no,10.59,,,,,,2.5,
11441,Gujarat,2002,2,10,3,177,1,BHOYE MADHUBHAI JELIYABHAI,M,INC,37335,,,98225,175681,DANGS-BANSDA,ST,,,6,55.91,38.01,no,10.33,,,,,,3.57,
11447,Gujarat,2002,2,10,3,178,1,DESAI DOLATRAI NATHUBHAI,M,BJP,57371,,,118685,201883,BULSAR,GEN,,,5,58.79,48.34,no,5.11,,,,,,2.38,
11452,Gujarat,2002,2,10,3,179,1,KISHANBHAI VESTABHAI PATEL,M,INC,58320,,,116559,171472,DHARAMPUR,ST,,,5,67.98,50.03,no,20.07,,,,,,2.86,
11457,Gujarat,2002,2,10,3,180,1,CHAUDHARI JITUBHAI HARJIBHAI,M,INC,57998,,,121547,185022,MOTA PONDHA,ST,,,4,65.69,47.72,no,20.86,,,,,,2.86,
11461,Gujarat,2002,2,10,3,181,1,PATEL LAXMANBHAI BABUBHAI,M,INC,43288,,,102768,171203,PARDI,ST,,,6,60.03,42.12,no,1.65,,,,,,2.78,
