,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
12168,2007,89,SIDHPUR,GEN,JAY NARAYAN VYAS,M,BJP,71.57
12173,2007,90,VAGDOD,GEN,THAKOR JODHAJI GALABJI,M,INC,56
12179,2007,91,PATAN,GEN,PATEL ANANDIBEN MAFATBHAI,F,BJP,66.06
12187,2007,92,CHANASMA,GEN,PATEL RAJNIKANT SOMABHAI,M,BJP,67.07
12194,2007,93,SAMI,GEN,RATHOD BHAVSINHBHAI DAHYABHAI,M,INC,61.47
12198,2007,94,RADHANPUR,GEN,CHAUDHARI SHANKARBHAI LAGDHIRBHAI,M,BJP,66.5
12208,2007,95,VAV,GEN,PATEL PARBATBHAI SAVABHAI,M,BJP,69.1
12216,2007,96,DEODAR,GEN,MALI ANILKUMAR AMRUTLAL,M,BJP,65.57
12223,2007,97,KANKREJ,GEN,DESAI BABUBHAI JESANGBHAI,M,BJP,58.03
12227,2007,98,DEESA,GEN,VAGHELA LILADHARBHAI KHODAJI,M,BJP,63.28
12232,2007,99,DHANERA,GEN,PUROHIT MAFATLAL MOTIRAM,M,BJP,62.78
12240,2007,100,PALANPUR,GEN,PRAJAPATI GOVINDBHAI MADHAVLAL,M,BJP,59.85
12249,2007,101,VADGAM,SC,VAGHELA FAKIRBHAI RAGHABHAI,M,BJP,58.77
12254,2007,102,DANTA,GEN,GADHAVI MUKESHKUMAR BHERAVDANJI,M,INC,60.46
12260,2007,103,KHEDBRAHMA,ST,ASHWIN KOTVAL,M,INC,56.25
12265,2007,104,IDAR,SC,VORA RAMANLAL ISHVARLAL,M,BJP,66.94
12268,2007,105,BHILODA,ST,ANIL JOSHIYARA,M,INC,62.01
12279,2007,106,HIMATNAGAR,GEN,PATEL PRAFULLBHAI KHODABHAI,M,BJP,67.37
12286,2007,107,PRANTIJ,GEN,CHAUHAN JAYSINHJI MANSINHJI,M,BJP,63.41
