Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,55,TALAJA,GEN,GOHIL SHEEVABHAI JERAMBHAI (SHEEVABHAI GOHIL),M,BJP,48.19
1998,37,TALALA,GEN,BARAD JASHUBHAI DHANABHAI,M,INC,70.13
1998,14,TANKARA,GEN,KUNDARIYA MOHANBHAI KALYANJIBHAI,M,BJP,63.41
1998,126,THASRA,GEN,PARMAR RAMSINH PRABHATBHAI,M,INC,61.78
1998,182,UMBERGAON,ST,PATKAR RAMANLAL NANUBHAI,M,BJP,54.86
1998,127,UMRETH,GEN,SUBHASH S. SHELAT,M,INC,62.18
1998,39,UNA,GEN,VANSH PUNJABHAI BHIMABHAI,M,INC,56.52
1998,88,UNJHA,GEN,PATEL NARAYANBHAI LALLUDAS,M,BJP,65.53
1998,23,UPLETA,GEN,MAKADIA PRAVINBHAI MOHAN,M,BJP,53.43
1998,101,VADGAM,SC,DOLATBHAI PARMAR,M,INC,62.68
1998,90,VAGDOD,GEN,DESAI RANCHHOD MAHIJIBHAI,M,BJP,60.74
1998,150,VAGHODIA,GEN,SHRIVASTAVA MADHUBHAI BABUBHAI,M,BJP,60.5
1998,155,VAGRA,GEN,PATEL IQBAL IBRAHIM,M,INC,67.64
1998,95,VAV,GEN,RAJPUT HEMAJI DARAGHAJI,M,INC,75.56
1998,85,VIJAPUR,GEN,RAVAL NARESHKUMAR GANGARAM,M,INC,71.28
1998,63,VIRAMGAM,GEN,PREMJIBHAI VADLANI,M,INC,65.61
1998,40,VISAVADAR,GEN,PATEL KESHUBHAI SAVDAS,M,BJP,56.54
1998,86,VISNAGAR,GEN,PATEL PRAHALADBHAI MOHANLAL (GOSA),M,BJP,73.79
1998,164,VYARA,ST,GAMIT PRATAPBHAI BABUBHAI,M,INC,60.32
1998,8,WADHWAN,GEN,KELA DHANRAJBHAI GOVINDBHAI,M,BJP,52.86
1998,15,WANKANER,GEN,KHURSHID HAIDAR ABDUL MUTTLIB PIRZADA (MEER,M,INC,64.82
2002,1,ABDASA,GEN,JADEJA NARENDRASINH MADHAVSINHAJ,M,BJP,71.88
2002,45,AMRELI,GEN,DHANANI PARESHBHAI DHIRAJLAL,M,INC,61.02
2002,133,ANAND,GEN,PATEL DILIPBHAI MANIBHAI,M,BJP,65.03
2002,5,ANJAR,GEN,AACHARYA NIMABEN BHAVESH,F,INC,52.79
2002,157,ANKLESHWAR,GEN,PATEL ISHWARSINH THAKORBHAI,M,BJP,69.96
2002,72,ASARWA,GEN,JADEJA PRADIPSINH BHAGVATSINH,M,BJP,53.6
2002,43,BABRA,GEN,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,68.6
2002,124,BALASINOR,GEN,RAJESH PATHAK (PAPPU PATHAK),M,BJP,70.6
2002,166,BARDOLI,ST,ANILKUMAR MOHANBHAI PATEL (RATHOD),M,INC,62.53
2002,147,BARODA CITY,GEN,BHUPENDRA LAKHAWALA,M,BJP,61.24
2002,151,BARODA RURAL,GEN,DILUBHA CHUDASAMA,M,BJP,63.2
2002,61,BAVLA,SC,LAKUM KANTIBHAI RAMABHAI,M,BJP,57.3
2002,109,BAYAD,GEN,SOLANKI RAMSINHJI RUPSINHJI,M,INC,72.79
2002,139,BHADRAN,GEN,PARMAR RAJENDRASINH DHIRSINH,M,INC,65.79
2002,29,BHANVAD,GEN,MADAM VIKRAMBHAI ARJANBHAI,M,INC,69.72
2002,57,BHAVNAGAR NORTH,GEN,TRIVEDI MAHENDRABHAI SHANTIBHAI (MAHENDRA,M,BJP,50.34
2002,58,BHAVNAGAR SOUTH,GEN,OZA SUNIL BALKRISHNABHAI,M,BJP,54.65
2002,105,BHILODA,GEN,DR. ANIL JOSHIYARA,M,INC,63.18
2002,3,BHUJ,GEN,AHIR SHIVJIBHAI KARSHANBHAI,M,INC,64.26
2002,138,BORSAD,GEN,SOLANKI BHARATBHAI MADHAVSINH,M,INC,68.67
2002,49,BOTAD,GEN,SAURABH PATEL,M,BJP,66.89
2002,156,BROACH,GEN,MISTRY RAMESHBHAI NARANDAS,M,BJP,70.09
2002,178,BULSAR,GEN,DESAI DOLATRAI NATHUBHAI,M,BJP,58.79
2002,140,CAMBAY,GEN,SHUKAL SHIRISHKUMAR MADHUSUDAN,M,BJP,65.62
2002,132,CHAKALASI,GEN,VAGHELA SHANKERBHAI DESAIBHAI,M,INC,66.68
2002,92,CHANASMA,GEN,DESAI MALAJIBHAI DEVAJIBHAI,M,INC,72.7
2002,141,CHHOTA UDAIPUR,ST,RATHWA SHANKARBHAI VICHHIYABHAI,M,BJP,60.39
2002,176,CHIKHLI,ST,BHARTIBEN NARDEVBHAI PATEL,F,INC,67.03
2002,172,CHORASI,GEN,NAROTTAMBHAI PATEL,M,BJP,35.67
2002,10,CHOTILA,GEN,JINJARIYA POPATBHAI SAVSIBHAI,M,IND,55.15
2002,145,DABHOI,GEN,PATEL CHANDRAKANT MOTIBHAI (PROF. C. M. PATEL),M,BJP,69.86
2002,177,DANGS-BANSDA,ST,BHOYE MADHUBHAI JELIYABHAI,M,INC,55.91
2002,102,DANTA,GEN,GADHVI MUKESHKUMAR BHAIRAVDANJI,M,INC,65.65
2002,69,DARIAPUR-KAZIPUR,GEN,BAROT BHARATKUMAR CHIMANLAL (BHARAT BAROT),M,BJP,53.22
2002,7,DASADA,SC,MAKWANA MANAHARLAL MAGANLAL,M,INC,66.28
2002,65,DASKROI,GEN,PATEL BABUBHAI JAMNADAS,M,BJP,60.23
2002,159,DEDIAPADA,ST,MAHESHBHAI CHHOTUBHAI VASAVA,M,JD(U),67.63
2002,98,DEESA,GEN,RABARI GOVABHAI HAMIRABHAI,M,INC,70.57
2002,66,DEHGAM,GEN,JAGDISH THAKOR,M,INC,67.52
2002,96,DEODAR,GEN,PATEL BHEMABHAI RAMSINGBHAI,M,IND,72.87
2002,116,DEVGADH BARIA,GEN,BACHUBHAI KHABAD,M,BJP,67.05
2002,59,DHANDHUKA,GEN,BHARATBHAI BALDEVBHAI PANDYA,M,BJP,56.97
2002,99,DHANERA,GEN,PATEL HARJIVANBHAI HIRABHAI,M,BJP,68.01
2002,179,DHARAMPUR,ST,KISHANBHAI VESTABHAI PATEL,M,INC,67.98
2002,46,DHARI,GEN,BALUBHAI JIVRAJBHAI TANTI,M,BJP,58.2
2002,60,DHOLKA,GEN,CHUDASAMA BHUPENDRASINH,M,BJP,62.61
2002,22,DHORAJI,GEN,RADADIYA VITHALBHAI HANSRAJBHAI,M,INC,66.59
2002,12,DHRANGADHRA,GEN,INDRAVIJAYSINH (I.K.) JADEJA,M,BJP,71.16
2002,114,DOHAD,ST,DAMOR TERSINHBHAI BADIYABHAI,M,BJP,52.37
2002,31,DWARKA,GEN,MANEK PABUBHA VIRAMBHA,M,INC,61.39
2002,68,ELLIS BRIDGE,GEN,SHETH BHAVINBHAI NALINIBHAI (ENGINEER),M,BJP,48.46
2002,50,GADHADA,SC,MARU PRAVINBHAI TIDABHAI,M,INC,58.42
2002,175,GANDEVI,GEN,KARSANBHAI BHIKHABHAI PATEL,M,BJP,65.41
2002,79,GANDHINAGAR,GEN,DR. C. J. CHAVDA,M,INC,61.38
2002,56,GHOGHO,GEN,SOLANKI PARSOTTAM O.,M,BJP,56.57
2002,120,GODHRA,GEN,BHATT HARESHKUMAR INDUPRASAD,M,BJP,68.52
2002,20,GONDAL,GEN,JAYRAJSINH TEMUBHA JADEJA,M,BJP,60.79
2002,118,HALOL,GEN,PARMAR JAYADRATHSINHJEE CHANDRASINHJEE,M,BJP,69.25
2002,11,HALVAD,GEN,KAVADIYA JAYANTILAL RAMJIBHAI,M,BJP,72.52
2002,106,HIMATNAGAR,GEN,CHAVADA RANJITSINH NARSINH,M,BJP,67.35
2002,104,IDAR,SC,VORA RAMANLAL ISHWARLAL,M,BJP,70.04
2002,173,JALALPORE,GEN,R.C. PATEL,M,BJP,62.5
2002,76,JAMALPUR,GEN,DEVADIWALA USMANGANI ISMAILBHAI,M,INC,60.06
2002,154,JAMBUSAR,GEN,MORI CHHATRASINH PUJABHAI,M,BJP,69.31
2002,28,JAMJODHPUR,GEN,CHIMANLAL DHARAMSINHBHAI SAPARIA,M,BJP,70.78
2002,25,JAMNAGAR,GEN,TRIVEDI VASUBEN NARENDRA,F,BJP,49.85
2002,26,JAMNAGAR RURAL,SC,DR. DINESH PARMAR,M,INC,44.45
2002,16,JASDAN,GEN,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,INC,77.56
2002,21,JETPUR,GEN,KORAT JASHUBEN SAVAJIBHAI,F,BJP,60.44
2002,142,JETPUR-I,GEN,BARIA VECHATBHAI HAMIRBHAI,M,BJP,67.98
2002,158,JHAGADIA,ST,VASAVA CHHOTUBHAI,M,JD(U),69.12
2002,112,JHALOD,ST,KATARA BHURABHAI JETABHAI,M,BJP,55.28
2002,24,JODIYA,GEN,BHOJANI PARSOTAMBHAI NANJIBHAI,M,BJP,69.4
2002,82,JOTANA,SC,ISHWARBHAI DHANABHAI MAKWANA,M,BJP,67.24
2002,42,JUNAGADH,GEN,MASHROO MAHENDRA LILADHAR,M,BJP,49.39
2002,81,KADI,GEN,THAKOR BALDEVJI CHANDUJI,M,INC,79.38
2002,27,KALAWAD,GEN,FALDU RANCHHODBHAI CHANABHAI (R.C. FALDU),M,BJP,64.69
2002,119,KALOL,GEN,CHAUHAN PRABHATSINH PRATAPSINH,M,BJP,73.07
2002,80,KALOL-I,GEN,DR. ATUL K. PATEL,M,BJP,68.41
2002,71,KALUPUR,GEN,SHAIKH MOHAMMED FAROOQ HUSAINMIYA (FAROOQ,M,INC,74.98
2002,167,KAMREJ,ST,RATHOD PRAVINBHAI CHHAGANBHAI,M,BJP,64.96
2002,97,KANKREJ,GEN,KHANPURA DHARSHIBHAI LAKHABHAI,M,INC,61.9
2002,125,KAPADVANJ,GEN,SHAH BIMAL KUMAR KAYANTILAL,M,BJP,68.5
2002,153,KARJAN,SC,KANODIA NARESHKUMAR MITHALAL,M,BJP,74.69
2002,128,KATHLAL,GEN,ZALA GAUTAMBHAI JESANGBHAI,M,INC,62.04
2002,36,KESHOD,SC,BORICHA MADHABHAI LAKHABHAI,M,BJP,61.93
2002,75,KHADIA,GEN,ASHOK BHATT,M,BJP,65.46
2002,30,KHAMBHALIA,GEN,CHAVADA KARUBHAI NARAN,M,BJP,56.31
2002,103,KHEDBRAHMA,ST,AMARSINH BHILABHAI CHAUDHARI,M,INC,67.5
2002,87,KHERALU,GEN,DESAI RAMILABEN RAMBHAI,F,BJP,73.85
2002,47,KODINAR,GEN,SOLANKI DINUBHAI BOGHABHAI,M,BJP,66.91
2002,53,KUNDLA,GEN,KALUBHAI VIRANI,M,BJP,55.96
2002,33,KUTIYANA,GEN,ODEDARA KARSHANBHAI DULABHAI,M,BJP,56.89
2002,44,LATHI,GEN,BHECHARBHAI BHADANI,M,BJP,61.15
2002,9,LIMBDI,GEN,BHARVAD BHAVANBHAI JIVANBHAI,M,INC,66.74
2002,113,LIMDI,ST,BHURIYA MAHESHBHAI SOMJIBHAI,M,BJP,51.61
2002,115,LIMKHEDA,ST,BABUBHAI SONIYABHAI BHABHOR,M,BJP,53.13
